property,synsetId,synsetName,mean,normVar,n,minValue,maxValue
Height,n02977438,cash_register,0.79,0.33,12.0,0.654166688,0.876458361
Height,n02978881,cassette,0.31,0.92,5.0,0.050000002,0.656666688
Height,n02982515,cat_box,1.42,0.29,15.0,1.072916701,1.66666672
Height,n02988156,cd_drive,0.24,1.2,11.0,0.11791667,0.150416671
Height,n02988304,cd_player,0.61,0.38,12.0,0.420208347,0.791666692
Height,n02988679,cd-rom,0.54,0.66,5.0,0.130833338,0.675000009
Height,n02992529,cellular_telephone,0.2,0.74,3.0,0.100000003,0.275833342
Height,n02994573,center_punch,0.21,1.12,15.0,0.045833335,0.30375001
Height,n02995345,central_processing_unit,0.29,0.31,12.0,0.252083341,0.383333346
Height,n02998003,cereal_box,0.5,0.46,7.0,0.32500001,0.595833352
Height,n03000247,chain_mail,0.5,0.67,6.0,0.245833341,0.72916669
Height,n03000684,chain_saw,0.88,0.39,11.0,0.692916689,0.914166696
Height,n02999936,chain,0.12,0.38,2.0,0.09791667,0.143750005
Height,n03008976,charger,0.16,0.73,10.0,0.075000002,0.231250007
Height,n03012644,cheese_press,1.0,0.0,1.0,1.000000032,1.000000032
Height,n03013580,chemise,0.14,0.0,1.0,0.141666671,0.141666671
Height,n03015254,chest_of_drawers,3.42,0.23,11.0,3.053333431,3.833750123
Height,n03017168,chime,0.55,0.58,10.0,0.20833334,0.672916688
Height,n03018349,china_cabinet,4.44,0.45,12.0,2.81250009,6.077500194
Height,n03020416,chip,0.52,0.78,5.0,0.291666676,0.358333345
Height,n03026506,christmas_stocking,0.19,1.01,13.0,0.020833334,0.266666675
Height,n03028785,church_hat,0.27,0.36,10.0,0.216666674,0.343750011
Height,n03031012,cigarette_case,0.14,1.57,12.0,0.054166668,0.085416669
Height,n03033986,circuit_board,0.04,0.62,6.0,0.030208334,0.058333335
Height,n03034663,circular_saw,0.91,0.17,11.0,0.792916692,0.970833364
Height,n03039947,cleaning_implement,0.05,0.0,1.0,0.045000001,0.045000001
Height,n03044671,clip_lead,0.06,0.63,13.0,0.033333334,0.083333336
Height,n03045698,cloak,0.44,1.19,10.0,0.156250005,0.358333345
Height,n03046921,clock_radio,0.35,0.42,12.0,0.277083342,0.420833347
Height,n03049924,cloth_cap,0.15,0.84,9.0,0.083333336,0.150000005
Height,n03055418,clutch_bag,0.29,0.69,13.0,0.125000004,0.433333347
Height,n03057541,coat_button,0.33,0.0,1.0,0.32500001,0.32500001
Height,n03057021,coat,0.4,0.94,6.0,0.125000004,0.666666688
Height,n03062985,coffee_can,0.48,0.26,6.0,0.366666678,0.562500018
Height,n03063073,coffee_cup,0.44,0.27,3.0,0.366666678,0.50833335
Height,n03063199,coffee_filter,0.59,0.86,13.0,0.250000008,0.666666688
Height,n03063599,coffee_mug,0.36,0.24,7.0,0.31250001,0.354166678
Height,n03063968,coffee_table,1.41,0.07,13.0,1.316666709,1.475833381
Height,n03066232,coil,0.41,0.46,8.0,0.279166676,0.615416686
Height,n03072201,color_television,1.13,0.78,6.0,0.473958349,1.431666712
Height,n03075097,comb,0.15,1.64,14.0,0.020833334,0.118333337
Height,n03075370,combination_lock,0.16,0.82,14.0,0.087083336,0.153125005
Height,n06596364,comic_book,0.36,1.1,4.0,0.036458335,0.531250017
Height,n03079230,compact_disk,0.14,0.94,2.0,0.073958336,0.20520834
Height,n03080497,compass,0.18,1.1,14.0,0.060833335,0.243750008
Height,n03084420,computer_circuit,0.19,0.15,3.0,0.167083339,0.196250006
Height,n03085013,computer_keyboard,0.28,1.41,12.0,0.095833336,0.171875006
Height,n03085219,computer_monitor,1.08,0.36,11.0,0.758333358,1.333333376
Height,n03085602,computer_screen,0.67,0.87,10.0,0.064166669,1.217916706
Height,n03085915,computer_system,0.65,0.57,5.0,0.375000012,0.83333336
Height,n06592078,concept_album,0.17,0.92,4.0,0.037500001,0.233750007
Height,n03090000,conference_table,1.75,0.54,17.0,0.479166682,2.458333412
Height,n03092883,console_table,2.17,0.29,16.0,2.003750064,2.536666748
Height,n03092656,console,0.58,0.43,5.0,0.393333346,0.616666686
Height,n03098140,control_panel,0.48,0.55,5.0,0.358333345,0.50833335
Height,n03100346,convertible,2.02,0.55,10.0,0.958333364,2.937500094
Height,n03102654,cooler,1.26,0.8,7.0,0.579166685,1.927500062
Height,n03108455,core_bit,0.37,0.85,14.0,0.08854167,0.543750017
Height,n03108759,corer,0.24,0.62,11.0,0.092500003,0.350000011
Height,n03110669,cornet,0.75,0.29,4.0,0.556250018,0.93750003
Height,n03114041,costume,1.02,0.54,4.0,0.895833362,1.375000044
