synId_prodId,percYes
n03207630::B004NX3VII,1
n03188725::B0019QB1P2,1
n03114236::B002H01NSO,1
n03446070::B004KKNA58,1
n03528263::B00II407OE,0.75
n03354903::B0007KPAM6,1
n04383130::B005P3CGRM,0.75
n04370456::B00NGNGZTS,0.75
n02686379::B003KQUH0O,1
n03066232::B0031ZDU62,1
n03106898::B002T44URY,1
n04370048::B00FIZYPCQ,1
n03659292::B000O94QTI,1
n03333711::B009NVF868,1
n03374372::B0012OSVM2,1
n03589791::B00K69SIYA,1
n02923915::B0097QA7OW,1
n04102618::B002EPBM06,1
n03271574::B000E13ERQ,1
n02752615::B00A17JYVI,1
n04409515::B000GHQ65K,1
n03906997::B000LK8TQG,1
n03993180::B003TPR73G,1
n03492922::B00I0YS546,1
n03127925::B003U6TQH4,0.75
n03848348::B00BN7ZXN8,1
n04127249::B002XNWFQY,1
n03138669::B000VUAKYU,1
n03216710::B0041MR9R0,1
n03995372::B001EYUS0I,1
n03043958::B00GET97FA,0.666666666666667
n03963198::B00KDZS6NA,1
n03075097::B000YB1XRO,1
n03138669::B00F2RAETS,1
n03908618::B002PIB0D6,1
n04126244::B00AAME8W4,1
n02840134::B005FUGOQO,0.75
n03302790::B0000E2PBX,0.666666666666667
n04390577::B00L3CUABI,1
n03075097::B001TSQYHA,1
n03961711::B002WQ1QDK,1
n03848348::B001T56NL0,1
n03447075::B00C6GFKWO,1
n03049924::B00M6QM2FM,0.666666666666667
n06592421::B00I3TWZ9Y,1
n03710193::B000CSG9GO,1
n03751458::B000RFBP9I,1
n03271260::B000JPMH2K,0.666666666666667
n02735268::B00II58UR4,0.666666666666667
n03533392::B000A8BM7W,1
n03665924::B005BYZ2PI,1
n03445777::B00AWOTRY4,1
n03792972::B0001M1IUS,1
n03751458::B00B49VULE,1
n04397261::B00EQ25LHK,0.75
n02847631::B00F8N4UFA,1
n04239074::B000CSI7OQ,1
n03688605::B00HC9146Q,1
n04118021::B003XX6JC4,1
n04380533::B001G6MKJQ,1
n03291819::B002ZTGNH8,1
n03333711::B005MB2KO6,1
n04254777::B00GW54ZPS,0.75
n03929660::B0055V7UR0,1
n04254680::B00HJ15OAE,1
n03269401::B00HWLQ3R4,1
n04563560::B00F8HE8NA,1
n03995265::B00367LM38,1
n03873848::B00HWNKY22,0.75
n03845990::B00MVRGYHI,1
n04399046::B002BDTVO0,1
n03701790::B00F32SGJW,1
n03467796::B0002D0CEO,0.75
n04493381::B000NNKWDO,1
n03456024::B00158SDF0,1
n02951585::B000AX13US,1
n04563560::B000MRTZ20,1
n03908204::B00IUUBSIU,0.666666666666667
n03057541::B005GAE8OS,1
n02908217::B001GJ3EJS,0.75
n03085013::B00B7GV802,1
n04067472::B003ZZDWMK,1
